GameType,GameID,Date,PlayerID,Player,Position,Team,Opponent,Venue,Starter,MIN,FG,FGA,3P,3PA,FT,FTA,OR,DR,TOT,A,PF,ST,TO,BL,PTS,Usage,Rest,MPG,bonus,PlayerFP,GameFP/36,TeamFP
NBA 2020-2021 Regular Season,22000001,2020-12-22,203952,Andrew Wiggins,F,Golden State,Brooklyn,R,Y,31.2,4,16,2,6,3,4,0,2,2,1,4,0,4,1,13,26.3,3+,31.9,0,18.0,20.7,218.8
NBA 2020-2021 Regular Season,22000001,2020-12-22,1629672,Eric Paschall,F,Golden State,Brooklyn,R,Y,21.6,2,6,1,1,1,2,1,0,1,0,1,0,0,1,6,12.0,3+,17.2,0,9.8,16.3,218.8
NBA 2020-2021 Regular Season,22000001,2020-12-22,1630164,James Wiseman,C,Golden State,Brooklyn,R,Y,24.3,7,13,1,1,4,8,1,5,6,0,2,2,1,0,19,27.2,3+,20.9,0,30.5,45.2,218.8
NBA 2020-2021 Regular Season,22000001,2020-12-22,1626162,Kelly Oubre Jr.,F-G,Golden State,Brooklyn,R,Y,25.6,3,14,0,6,0,0,4,3,7,2,1,1,3,2,6,25.0,3+,28.7,0,22.2,31.2,218.8
NBA 2020-2021 Regular Season,22000001,2020-12-22,201939,Stephen Curry,G,Golden State,Brooklyn,R,Y,30.3,7,21,2,10,4,4,3,1,4,10,1,2,3,0,20,32.1,3+,33.7,2,45.5,54.0,218.8
NBA 2020-2021 Regular Season,22000001,2020-12-22,1626172,Kevon Looney,F,Golden State,Brooklyn,R,N,11.3,2,4,0,0,0,1,0,2,2,0,3,0,2,0,4,21.6,3+,14.6,0,5.5,17.6,218.8
NBA 2020-2021 Regular Season,22000001,2020-12-22,203145,Kent Bazemore,G-F,Golden State,Brooklyn,R,N,11.6,1,2,0,1,0,0,0,2,2,2,3,1,2,0,2,13.0,3+,15.5,0,8.5,26.4,218.8
NBA 2020-2021 Regular Season,22000001,2020-12-22,1627814,Damion Lee,G-F,Golden State,Brooklyn,R,N,12.2,1,2,1,1,0,0,1,6,7,2,0,0,0,0,3,6.2,3+,18.9,0,15.2,44.9,218.8
NBA 2020-2021 Regular Season,22000001,2020-12-22,1627737,Marquese Chriss,F,Golden State,Brooklyn,R,N,12.4,4,10,1,3,0,0,3,5,8,1,2,0,0,0,9,30.4,3+,13.4,0,21.0,60.8,218.8
NBA 2020-2021 Regular Season,22000001,2020-12-22,1629673,Jordan Poole,G,Golden State,Brooklyn,R,N,17.9,1,4,0,1,0,0,0,2,2,3,2,0,2,0,2,12.6,3+,9.6,0,8.0,16.1,218.8
NBA 2020-2021 Regular Season,22000001,2020-12-22,202954,Brad Wanamaker,G,Golden State,Brooklyn,R,N,21.7,0,2,0,1,3,4,0,1,1,3,2,0,1,0,3,8.3,3+,16.3,0,8.2,13.7,218.8
NBA 2020-2021 Regular Season,22000001,2020-12-22,1629308,Juan Toscano-Anderson,F,Golden State,Brooklyn,R,N,13.2,2,2,0,0,0,0,0,4,4,2,3,0,0,2,4,5.7,3+,21.1,0,16.0,43.5,218.8
NBA 2020-2021 Regular Season,22000001,2020-12-22,1628539,Mychal Mulder,G,Golden State,Brooklyn,R,N,6.6,3,3,2,2,0,0,0,1,1,0,0,0,0,0,8,17.2,3+,10.1,0,10.2,55.9,218.8
NBA 2020-2021 Regular Season,22000001,2020-12-22,203925,Joe Harris,G-F,Brooklyn,Golden State,H,Y,20.8,4,8,2,5,0,0,2,5,7,2,2,0,2,1,10,18.3,3+,31.5,0,23.8,41.2,265.8
NBA 2020-2021 Regular Season,22000001,2020-12-22,201142,Kevin Durant,F,Brooklyn,Golden State,H,Y,24.9,7,16,1,2,7,7,1,4,5,3,3,3,1,1,22,30.7,3+,35.9,0,40.8,58.8,265.8
NBA 2020-2021 Regular Season,22000001,2020-12-22,201599,DeAndre Jordan,C,Brooklyn,Golden State,H,Y,17.0,2,3,0,0,0,2,2,9,11,1,2,1,3,1,4,15.4,3+,20.6,0,21.8,45.9,265.8
NBA 2020-2021 Regular Season,22000001,2020-12-22,203915,Spencer Dinwiddie,G,Brooklyn,Golden State,H,Y,20.0,2,6,1,3,4,4,0,5,5,4,1,0,3,0,9,20.5,3+,21.4,0,20.2,36.5,265.8
NBA 2020-2021 Regular Season,22000001,2020-12-22,202681,Kyrie Irving,G,Brooklyn,Golden State,H,Y,25.3,10,16,4,7,2,2,1,3,4,4,3,0,1,0,26,26.9,3+,35.7,0,38.5,54.8,265.8
NBA 2020-2021 Regular Season,22000001,2020-12-22,1628386,Jarrett Allen,C,Brooklyn,Golden State,H,N,19.6,2,3,0,0,4,5,3,4,7,2,0,1,2,2,8,14.0,3+,26.6,0,24.8,45.4,265.8
NBA 2020-2021 Regular Season,22000001,2020-12-22,1629013,Landry Shamet,G,Brooklyn,Golden State,H,N,19.7,1,4,1,4,3,4,0,1,1,0,3,1,2,0,6,15.0,3+,18.2,0,8.8,16.0,265.8
NBA 2020-2021 Regular Season,22000001,2020-12-22,1627747,Caris LeVert,G,Brooklyn,Golden State,H,N,24.8,6,17,3,5,5,6,1,8,9,5,1,2,2,1,20,33.2,3+,27.8,0,45.2,65.6,265.8
NBA 2020-2021 Regular Season,22000001,2020-12-22,201145,Jeff Green,F,Brooklyn,Golden State,H,N,17.3,3,4,1,2,0,0,0,0,0,1,3,1,1,0,7,11.0,3+,26.1,0,10.5,21.9,265.8
NBA 2020-2021 Regular Season,22000001,2020-12-22,1627752,Taurean Prince,G,Brooklyn,Golden State,H,N,16.1,0,1,0,1,1,2,0,1,1,0,1,1,0,1,1,4.4,3+,18.1,0,6.2,14.0,265.8
NBA 2020-2021 Regular Season,22000001,2020-12-22,1629617,Reggie Perry,F-C,Brooklyn,Golden State,H,N,7.8,1,3,0,1,0,0,1,1,2,1,0,0,0,0,2,14.7,3+,10.5,0,6.0,27.8,265.8
NBA 2020-2021 Regular Season,22000001,2020-12-22,1628971,Bruce Brown,G-F,Brooklyn,Golden State,H,N,7.5,1,3,0,1,0,0,0,1,1,1,1,0,2,0,2,25.3,3+,18.4,0,3.8,18.0,265.8
NBA 2020-2021 Regular Season,22000001,2020-12-22,1627789,Timothe Luwawu-Cabarrot,G-F,Brooklyn,Golden State,H,N,6.6,2,6,1,3,0,0,1,1,2,0,2,0,1,0,5,40.4,3+,19.3,0,7.5,40.9,265.8
NBA 2020-2021 Regular Season,22000001,2020-12-22,1629066,Rodions Kurucs,F,Brooklyn,Golden State,H,N,6.6,1,1,1,1,0,0,0,1,1,0,0,0,0,0,3,5.8,3+,3.2,0,4.8,25.9,265.8
NBA 2020-2021 Regular Season,22000001,2020-12-22,204020,Tyler Johnson,G,Brooklyn,Golden State,H,N,6.0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,6.4,3+,7.8,0,3.2,19.6,265.8
NBA 2020-2021 Regular Season,22000002,2020-12-22,202695,Kawhi Leonard,F,LA Clippers,LA Lakers,R,Y,34.0,10,26,1,8,5,5,0,2,2,3,5,2,3,0,26,37.5,3+,34.4,0,36.0,38.1,224.0
NBA 2020-2021 Regular Season,22000002,2020-12-22,201587,Nicolas Batum,G-F,LA Clippers,LA Lakers,R,Y,28.2,1,4,1,3,0,0,1,5,6,6,2,2,1,0,3,7.3,3+,29.6,0,23.5,30.0,224.0
NBA 2020-2021 Regular Season,22000002,2020-12-22,201586,Serge Ibaka,F,LA Clippers,LA Lakers,R,Y,20.5,5,7,2,3,3,5,2,4,6,0,3,0,1,1,15,20.3,3+,24.6,0,25.0,43.8,224.0
NBA 2020-2021 Regular Season,22000002,2020-12-22,202331,Paul George,F,LA Clippers,LA Lakers,R,Y,35.8,13,18,5,8,2,2,0,6,6,3,3,1,5,0,33,27.3,3+,34.0,0,47.0,47.3,224.0
NBA 2020-2021 Regular Season,22000002,2020-12-22,201976,Patrick Beverley,G,LA Clippers,LA Lakers,R,Y,22.1,4,9,2,5,0,0,4,2,6,3,4,0,2,0,10,20.3,3+,25.6,0,22.0,35.8,224.0
NBA 2020-2021 Regular Season,22000002,2020-12-22,1627826,Ivica Zubac,C,LA Clippers,LA Lakers,R,N,26.5,4,5,0,0,3,4,3,3,6,1,4,1,1,1,11,12.0,3+,19.5,0,23.5,31.9,224.0
NBA 2020-2021 Regular Season,22000002,2020-12-22,202335,Patrick Patterson,F,LA Clippers,LA Lakers,R,N,19.6,1,5,1,4,0,0,1,2,3,1,2,2,1,0,3,12.5,3+,13.4,0,12.2,22.5,224.0
NBA 2020-2021 Regular Season,22000002,2020-12-22,101150,Lou Williams,G,LA Clippers,LA Lakers,R,N,25.9,4,9,2,4,1,3,0,2,2,3,2,0,1,0,11,17.9,3+,20.4,0,18.5,25.7,224.0
NBA 2020-2021 Regular Season,22000002,2020-12-22,1628379,Luke Kennard,G,LA Clippers,LA Lakers,R,N,21.0,2,6,0,3,0,0,0,2,2,2,3,2,1,1,4,13.6,3+,22.0,0,15.0,25.7,224.0
NBA 2020-2021 Regular Season,22000002,2020-12-22,1629611,Terance Mann,G-F,LA Clippers,LA Lakers,R,N,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,39.0,3+,12.2,0,0.0,0.0,224.0
NBA 2020-2021 Regular Season,22000002,2020-12-22,202704,Reggie Jackson,G,LA Clippers,LA Lakers,R,N,3.4,0,3,0,2,0,0,0,1,1,0,1,0,0,0,0,36.6,3+,19.3,0,1.2,13.4,224.0
NBA 2020-2021 Regular Season,22000002,2020-12-22,1629662,Mfiondu Kabengele,F-C,LA Clippers,LA Lakers,R,N,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3+,4.1,0,0.0,0.0,224.0
NBA 2020-2021 Regular Season,22000002,2020-12-22,1629599,Amir Coffey,G-F,LA Clippers,LA Lakers,R,N,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3+,5.7,0,0.0,0.0,224.0
